mail;haslo;kontrahent
alpecin1@maildrop.cc;12;Alpecin
arkea1@maildrop.cc;12;Arkea
decathlon1@maildrop.cc;12;Decathlon
groupama1@maildrop.cc;12;Groupama
ineos1@maildrop.cc;12;Ineos
lidl1@maildrop.cc;12;Lidl
movistar1@maildrop.cc;12;Movistar
specialized1@maildrop.cc;12;Specialized
teamvismav1@maildrop.cc;12;Teamvismav
uae1@maildrop.cc;12;Uae
alpecin2@maildrop.cc;12;Alpecin
arkea2@maildrop.cc;12;Arkea
decathlon2@maildrop.cc;12;Decathlon
groupama2@maildrop.cc;12;Groupama
ineos2@maildrop.cc;12;Ineos
lidl2@maildrop.cc;12;Lidl
movistar2@maildrop.cc;12;Movistar
specialized_test2@maildrop.cc;12;Specialized_Test
teamvisma20252@maildrop.cc;12;Teamvisma2025
uae2@maildrop.cc;12;Uae
tw ;12;Twteam
tw ;12;Twteam
